File Name,Total Faces,Curved Faces,Total Edges,Vertices,Complexity (Face/Edge),Bounding Box Volume,Mean Curvature,Curvature Std Dev,Complexity (Curvature),Volume,Hole Count
00509603.step,82,21,484,968,Complex,200475.0021870001,-0.011987341130095794,0.02714397363588512,Complex,66365.46942018901,21
00009985.step,894,749,4279,8558,Complex,18634.699104022573,-1.4819303993540829,1.133368522504977,Complex,5341.73319404063,295
00509983.step,30,20,146,292,Complex,591300.8222897777,-0.15713752153876462,0.17396306991703586,Complex,199718.0961881538,14
00009776.step,6,2,24,48,Simple,19648.376921930998,0.0002783405282669306,0.0006155902450650816,Complex,989.1418596487395,0
00509729.step,12,7,58,116,Complex,331250.00315008045,-0.018965437874937725,0.01867083759170601,Complex,157478.90183482884,4
00509444.step,82,41,484,968,Complex,10330.491601813947,-0.10687938390961499,0.14291697399994527,Complex,4724.550456221893,39
00009783.step,52,14,288,576,Complex,74587.50130485032,-0.036315536315536315,0.06610981028568802,Complex,10432.917667806712,14
00009812.step,136,81,1034,2068,Complex,16425.908748118734,0.12663553884165232,0.2659135860903156,Complex,3345.9701081246835,0
00509541.step,169,120,920,1840,Complex,102831.05532840537,-0.21976803649713345,0.40109673219161357,Complex,27211.965614509412,78
00009679.step,169,97,848,1696,Complex,1298187.6407478442,-0.07270477659049544,0.1371589918857671,Complex,200166.35645546738,73
00009723.step,401,274,2062,4124,Complex,128354.43596266741,-0.2565546589401442,0.3836413233077093,Complex,16158.412209088332,120
00509520.step,36,18,204,408,Complex,129600.00891308741,-0.03178589548452562,0.041599548087034546,Complex,50865.52184012495,18
00009867.step,25,9,144,288,Complex,32128.64848403509,-0.03782019566786536,0.05342628074406819,Complex,9319.390707010303,7
00509817.step,62,23,308,616,Complex,1476943.7556615926,-0.014479148017939356,0.029628334867531164,Complex,356655.84913403506,8
00009889.step,57,16,326,652,Complex,118093.3439743555,-0.057852426255521165,0.11219732684629338,Complex,31819.94829783134,14
00009763.step,93,64,446,892,Complex,44501.104520513676,-0.8575695216335562,1.1106093586236112,Complex,16359.255537496556,40
00009810.step,216,111,1356,2712,Complex,626030.7316166002,-0.12989601704879483,0.13746529600799767,Complex,34595.41772129049,107
00509995.step,149,97,790,1580,Complex,2182245.907124409,-0.0800303179077335,0.08762980396145999,Complex,966928.7385859977,78
00009891.step,19,6,102,204,Complex,4320.000208800004,-0.06340852130325815,0.10954072694427186,Complex,2289.5292864324892,6
00509447.step,103,63,612,1224,Complex,22957.983337462192,-0.11931707446069408,0.12789213041737107,Complex,3925.604119277261,41
00009939.step,32,17,166,332,Complex,17255.00042060001,-0.10001099030708527,0.11829250277614606,Complex,5173.767592810658,17
00509583.step,6,4,24,48,Simple,80.12550670386956,-0.08902710971370958,0.11403843359922847,Complex,46.93825213860266,4
00009777.step,1,1,4,8,Simple,2611563.627380693,-0.019682244949635344,0.0,Complex,294060.71051961824,0
00509443.step,179,126,923,1846,Complex,15628.257530513121,-0.3588352220146201,0.39063529628323057,Complex,3064.99781074009,46
00009817.step,77,66,567,1134,Complex,9100.747118593215,-0.017965367965398604,0.6669861015028176,Complex,1067.8146882547144,1
00509765.step,4,2,12,24,Simple,30989.41959985889,-0.026707149082117455,0.027095682514170754,Complex,9377.466811552938,2
00009670.step,8,1,36,72,Complex,10000.00033000005,-0.0078125,0.020669932117692115,Complex,7994.690350851271,1
00009913.step,37,15,210,420,Complex,11088.000338400005,-0.016960421767999213,0.2139357045834466,Complex,4214.271852979086,6
00009872.step,25,8,150,300,Complex,9020.000298199999,-0.08034454157613322,0.12334338835061152,Complex,5212.1617997793255,8
00009964.step,80,40,456,912,Complex,134565.91976636247,-0.09574842816242898,0.11300906594930787,Complex,19851.48266861522,38
00009990.step,119,87,527,1054,Complex,683584.3545986998,-0.21010176708319395,0.2270400955622558,Complex,71825.8402006033,24
00009861.step,4,1,12,24,Simple,1249.2701355653644,-0.024999999999999998,0.04330127018922193,Complex,746.1282552275751,1
00009764.step,34,23,182,364,Complex,23443.904791686477,-0.16700478067895405,0.15955694201234139,Complex,9950.211743838376,16
00509850.step,29,16,162,324,Complex,3331.9794144855214,-0.11819835552253635,0.14699408541181766,Complex,1628.6231561018255,12
00009729.step,172,126,861,1722,Complex,27291.03568355623,-0.5411796489272097,0.5060133711661378,Complex,4592.016704334377,45
00009902.step,152,15,898,1796,Complex,100349.92131351202,-0.023518704714083606,0.08084072359140261,Complex,48288.90755171593,15
00509609.step,8,6,28,56,Simple,9217.723766128503,-0.03920199957082843,0.025419390688173046,Complex,3964.073950480429,2
00009727.step,193,118,1036,2072,Complex,15718.200559197232,-0.13490363861393567,0.1840386803030093,Complex,6011.159317411811,83
00509745.step,0,0,1,2,Simple,20387.949922779986,,,Complex,0.0,0
00009866.step,28,2,156,312,Complex,55640.001464400106,-0.015873015873015872,0.05723097262641253,Complex,53041.913743824116,2
00009910.step,62,21,360,720,Complex,74309.59625482585,-0.01742932374426372,0.06581463857269118,Complex,22910.467262903952,11
00009940.step,28,12,136,272,Complex,13481.041504116514,-0.09910650827495178,0.1292314056170227,Complex,7130.427997380755,12
00009692.step,75,44,468,936,Complex,47318.726057225686,-0.1571541988383309,0.4521155697466911,Complex,1542.666545790414,44
00009732.step,24,17,102,204,Complex,46906.10560251744,-0.19534716865203963,0.3087984797376909,Complex,3691.6134764149374,11
00509846.step,16,9,72,144,Complex,1600.0001200000029,-0.1140625,0.1301531132908681,Complex,1358.4522194430806,9
00509712.step,25,12,134,268,Complex,210576.00229820018,-0.039644380565775614,0.052704081180151005,Complex,75992.22993007168,11
00009835.step,5,0,18,36,Simple,286.4852169696399,0.0,0.0,Complex,143.24259336023758,0
00509855.step,22,8,108,216,Complex,13720.000516600006,-0.08068007261555649,0.10883316576537881,Complex,6536.992074713936,8
00009868.step,43,7,244,488,Complex,8547.000266300027,-0.02402959468691268,0.06138013414276137,Complex,5598.490959432964,6
00009869.step,36,4,204,408,Complex,6012.500205600017,-0.01712962962962963,0.051704900893493985,Complex,3597.4460069111756,4
00509854.step,12,7,50,100,Complex,6761.892778335127,-0.12713422953272815,0.2117252666499215,Complex,184.74120770435135,5
00009813.step,24,6,134,268,Complex,85924.67979592063,-0.07152777777777777,0.13467030786698175,Complex,23013.470965405046,6
00509711.step,7,1,30,60,Complex,954.6728259391949,-0.14285714285714285,0.34992710611188266,Complex,952.7092233805165,1
00509843.step,38,19,192,384,Complex,2430.0001498500023,-0.2182017543859649,0.3735381118320782,Complex,556.4956840901817,19
00009955.step,87,29,470,940,Complex,106904.21909315226,-0.052270763254141143,0.0911495967810674,Complex,14363.502052479758,25
00509579.step,3557,0,18780,37560,Complex,106080.2691219389,0.0,0.0,Complex,23840.218722450245,0
00009904.step,44,18,236,472,Complex,165462.32678793048,-0.07753889900853622,0.11174352353018746,Complex,52142.72726477358,16
00009956.step,32,18,226,452,Complex,8000.000240006129,-0.08675423095961848,0.10603809308258107,Complex,3631.972130928471,12
00009796.step,265,219,1446,2892,Complex,1623664.9675317858,-0.06597207553700878,0.06304775874201958,Complex,623548.9870928794,167
00509919.step,548,470,2558,5116,Complex,99515.0856632754,-0.2166593567940142,0.45599437958381606,Complex,20411.473625112823,143
00509844.step,42,12,240,480,Complex,3840.0001664000033,-0.09027777777777776,0.15259729599264882,Complex,843.8192455187814,12
00009911.step,49,13,284,568,Complex,74309.59625482582,-0.028795520978726695,0.055680036276731945,Complex,22739.124923126354,12
00009715.step,6,3,18,36,Simple,1203522.253521355,-0.04746985009624294,0.09595711907208761,Complex,188161.62001815907,0
00009900.step,117,43,710,1420,Complex,787965.6267252145,-0.0768595812953443,0.1594255576120961,Complex,75176.25461051075,27
