File Name,Total Faces,Curved Faces,Total Edges,Vertices,Bounding Box Volume,Mean Curvature,Curvature Std Dev,Volume,Hole Count,size,ispart,Criteria Met
00000060.step,76,31,438,876,80298.40705367061,-0.0655406174073442,0.11969794468586961,22347.407129608437,31,183.849609375,1,8
00000130.step,35,30,176,352,134167.73820723963,-0.07235950354050655,0.06102492458126437,29443.836220803307,14,501.1494140625,1,7
00000800.step,60,16,396,792,269618.4149180578,-0.036705344385673314,0.0659501901372351,41969.32575656519,16,149.75390625,1,8
00000816.step,37,24,164,328,153782.35552907418,-0.045370801939588125,0.06438400820125315,45126.68592704725,9,319.5966796875,1,8
00001063.step,63,37,360,720,243116.42357761506,-0.07028923747506048,0.08555790843988671,118467.83305884778,27,158.3935546875,1,8
00001099.step,20,6,108,216,19286.40048496001,-0.0529040404040404,0.08371212121212121,8693.878588306165,6,44.357421875,1,8
00001108.step,85,46,494,988,20412.000734400008,-0.15035940622602334,0.15210798706132284,6873.703609376406,46,206.1416015625,1,8
00001263.step,33,20,172,344,3068.4748930191004,-0.21511473375486043,0.23286288543031775,1132.53884676141,12,88.3076171875,1,8
00001429.step,39,11,224,448,259713.43448945432,-0.0549677773207185,0.09897103448377165,49392.43766722635,11,87.7734375,1,8
00001449.step,35,16,206,412,361200.003451604,-0.08052747709118242,0.10598963048326826,96879.71319230052,16,80.255859375,1,8
00001466.step,111,38,390,780,37024.57922974966,-0.06922878429675666,0.2544363273916705,11125.560082673133,37,192.5234375,1,8
00001484.step,52,12,264,528,9334.500282800003,-0.02280266422881024,0.04715716179636315,2516.435935976725,12,113.822265625,1,8
00001500.step,42,23,244,488,71621.6610390493,-0.07163022948891083,0.07545449390966659,8695.574034481444,21,106.486328125,1,8
00001511.step,37,24,164,328,153782.35552907418,-0.045370801939588125,0.06438400820125315,45126.58538982533,9,319.5966796875,1,8
00001563.step,37,33,174,348,3615.061966181296,-0.6081154519591369,0.3982814508996736,1706.3925447743768,15,100.572265625,1,8
00001649.step,25,9,146,292,99450.00158850005,-0.08,0.11274356350191841,14662.18103800818,9,58.0224609375,1,8
00001956.step,37,24,160,320,300755.2207705257,-0.12024327816705939,0.10441289473830462,51774.79743254878,12,353.6083984375,1,8
00001999.step,89,38,544,1088,331099.7211749063,-0.07386060304531608,0.10225576397561785,56321.466500345035,38,243.5546875,1,8
00002074.step,64,38,332,664,14014.000458380293,-0.21032373156460232,0.20384467508219278,5184.6853819123635,30,200.923828125,1,8
00002196.step,48,24,264,528,46967.47870361167,-0.08407010724683434,0.10353160976248095,15072.814120960873,24,113.0927734375,1,8
00002303.step,30,14,168,336,153866.43741995553,-0.11385839737438933,0.13997137885567,37928.630661783754,14,96.62890625,1,8
00002610.step,71,15,388,776,83524.00121024008,-0.03649370758533177,0.08379851254272841,13950.70499730303,15,159.6005859375,1,8
00002706.step,57,25,322,644,156563.0832099192,-0.04390330580786411,0.0899048411284009,7489.649148559928,19,146.32421875,1,8
00002716.step,50,26,272,544,179534.4807320455,-0.06196060088212981,0.06665153739125647,83282.19925705757,20,125.93359375,1,8
00002717.step,34,7,194,388,118970.08547048352,-0.03651975670206128,0.0724450876392775,51289.67860631079,7,78.759765625,1,8
00002818.step,63,20,366,732,31600.000712000012,-0.043135155084840615,0.06775337674346599,13641.681428912261,20,187.91015625,1,8
00003325.step,75,38,304,608,1883166.3544706071,-0.029268476067167478,0.04611548661259016,78635.53659814606,29,167.130859375,1,8
00003609.step,95,22,574,1148,72576.00115200003,-0.09596681332542724,0.364696950055794,27170.9293958397,22,230.474609375,1,8
00003617.step,92,18,456,912,47632.71487331891,-0.027819232707083842,0.06614285097961733,6995.778558699346,10,196.4140625,1,8
00003754.step,74,42,402,804,22696.845202198387,-0.10617247553124644,0.1282616242393645,4475.602232518273,30,309.11328125,1,8
00003755.step,59,6,328,656,90045.00123307115,-0.011202217959872304,0.035943402672706945,33322.84164450962,6,187.0185546875,1,8
00003759.step,110,32,618,1236,204835.67338843067,-0.0693068394129249,0.16145628472156123,70379.6202771138,28,267.6728515625,1,8
00003787.step,86,17,454,908,183956.6031836798,-0.019556543035364818,0.04610855616438191,33610.45805170481,13,188.4033203125,1,8
00003788.step,85,22,476,952,175560.0020276024,-0.0471476453829395,0.10645847645447873,24692.809420902508,22,195.984375,1,8
00004222.step,95,22,574,1148,72576.00115200003,-0.09596681332542724,0.36469695005579394,27170.929395839707,22,230.47265625,1,8
00004224.step,36,17,210,420,105130.32015179373,-0.0932081807081807,0.1204329741607536,15470.44524623479,17,116.3916015625,1,8
00004371.step,55,37,318,636,5325.796042338256,-0.24145122340390543,0.2687995890530656,1654.8699503913795,37,135.2265625,1,8
00004879.step,32,21,152,304,12725.106335295692,-0.07637361155925919,0.10126949464655949,5771.967004676337,13,248.64453125,1,8
00004936.step,87,41,474,948,101170.68968098777,-0.07833855442660362,0.10493001887367624,33202.70206069344,30,232.4130859375,1,8
00004937.step,62,36,316,632,108983.4741271765,-0.07187363456906457,0.11097072183661398,41797.00107036522,26,171.798828125,1,8
00004940.step,75,31,438,876,153902.47013360294,-0.06345401238762999,0.12250131234214352,49541.413421984136,22,230.7265625,1,8
00004971.step,101,50,588,1176,525414.8839144622,-0.11414537348385034,0.13024548403020886,85999.95954157674,34,231.294921875,1,8
00004972.step,103,50,608,1216,499453.6775143489,-0.11455508120129944,0.13784966648775687,58754.72723662785,36,238.2734375,1,8
00004984.step,81,40,466,932,537470.6022771308,-0.0905560406440424,0.12093647461138693,69976.50700537635,40,195.287109375,1,8
00005039.step,45,18,246,492,159919.98236226072,-0.02862694717071574,0.04790778505354178,113347.28966614141,14,101.765625,1,8
00005160.step,28,15,156,312,101600.40354885554,-0.05393141043590425,0.06534772958087565,43642.95110521865,12,121.1162109375,1,8
00005173.step,62,27,352,704,868856.0951676188,-0.08744274196092056,0.1235830073370133,70582.79251724608,27,144.5205078125,1,8
00005202.step,67,43,394,788,73702.76212152289,-0.06549645478278021,0.08029735392778446,31437.781105271857,30,262.3681640625,1,8
00005228.step,68,41,396,792,308983.14887658897,-0.06522890416193347,0.0801571329791401,44549.26309806716,41,166.9990234375,1,8
00005644.step,61,11,344,688,288372.2888659637,-0.015860742454577647,0.04050843522910766,30229.20254910136,8,151.435546875,1,8
00005684.step,40,15,228,456,112555.69397418779,-0.03129686683881053,0.06027468443864708,19989.636626313848,15,94.9228515625,1,8
00005977.step,42,8,232,464,198720.0020802002,-0.045630035422866796,0.09912343601372989,23517.853054944913,8,93.5595703125,1,8
00005980.step,35,12,206,412,111468.75141295028,-0.07442717632402646,0.1161590448937591,26380.62538251263,12,81.541015625,1,8
00006033.step,48,32,238,476,14553.000365400003,-0.16581219546772993,0.16030369051508517,2890.1324754898396,31,105.126953125,1,8
00006093.step,62,30,328,656,18417.606964213635,-0.23228298616243453,0.3463537060923445,4347.686190226555,26,177.0654296875,1,8
00006107.step,1,0,4,8,2631.71064115189,0.0,0.0,7.972801498324581e-13,0,276.529296875,0,1
00006263.step,117,72,616,1232,34294.483839848974,-1.6225526809253812,2.2085075165509727,9285.589864231224,48,282.716796875,1,7
00006305.step,116,85,580,1160,487955.4998372132,-0.15658759182510523,0.16682096789866985,124134.85296359652,52,455.08984375,1,6
00006684.step,61,44,300,600,19262.71419519123,-0.6954108031646227,0.6660255142965709,8237.96429487356,31,162.869140625,1,8
00006780.step,32,14,194,388,71289.60304976135,-0.07056653732069951,0.10559241814911345,33769.423779711025,14,94.7685546875,1,8
00006949.step,54,23,286,572,39422.62273298174,-0.10368269092762601,0.1360553354148313,13833.050024501452,23,162.748046875,1,8
00007086.step,71,49,351,702,313408.5817812217,-0.16270110732733567,0.230770027088128,10362.304139561693,18,428.587890625,1,8
00007090.step,23,11,114,228,7611.077125235644,-0.16292270531400965,0.20870676466657073,2055.382196953442,11,50.056640625,1,8
00007118.step,29,17,154,308,43024.337130261796,-0.25015050435788655,0.24568360129519606,5068.167076693307,11,191.9169921875,1,8
00007425.step,86,28,552,1104,47600.00130000003,-0.05778175313059033,0.09218271344065308,26364.18893109366,28,234.1025390625,1,8
00007484.step,82,36,477,954,43605.00085980003,-0.09752019433846719,0.141247024167737,12232.81318032586,34,205.3779296875,1,8
00007539.step,47,20,264,528,107016.00147585417,-0.07651528696585017,0.10776112397873583,25065.64700207034,20,109.7783203125,1,8
00007749.step,25,14,138,276,7499.87560418022,-0.13232845894263215,0.12530141157921817,1616.0518357984547,14,61.205078125,1,8
00007834.step,115,24,634,1268,82081.51895367526,-0.06399485315677084,0.1940933174913186,19768.288887234412,17,275.876953125,1,8
00007861.step,41,19,234,468,10384.000389200004,-0.15009611918779286,0.1788277065029748,1645.1381239731566,19,98.3408203125,1,8
00007951.step,69,24,382,764,189983.82692239792,-0.06374346200328523,0.10333413328862442,120218.38995235601,21,160.181640625,1,8
00008334.step,47,33,232,464,105241.09359072933,-0.1415420925608603,0.12234734115789564,31085.856829934866,23,262.68359375,1,8
