File Name,Total Faces,Curved Faces,Total Edges,Vertices,Bounding Box Volume,Mean Curvature,Curvature Std Dev,Volume,Hole Count,size,ispart,Criteria Met
00006002.step,19,8,100,200,100800.00321600001,-0.03241953018596753,0.047507173852277346,71135.6734157806,7,43.822265625,1,10
00006003.step,15,11,92,184,90000.00236000004,-0.05844444444444444,0.05162351842252703,57784.73054642956,11,34.5341796875,1,9
00006039.step,52,25,280,560,36036.35128314243,-0.06647889563570028,0.07874390195838944,9579.320920602366,17,392.087890625,1,10
00006069.step,41,25,196,392,241083.34457107293,-0.11201365002426257,0.12392339475055611,98306.94490569978,17,86.6689453125,1,9
00006080.step,12,3,54,108,295000.0034500001,-0.010555555555555554,0.021808651584878356,174026.12504186895,3,25.9619140625,1,7
00006247.step,25,19,123,246,87248.00170063382,-0.05518564497855073,0.05958538810876836,38737.44647854106,10,51.9814453125,1,10
00006350.step,110,68,512,1024,124525.93361131108,-0.0552880442050385,0.0656565830175148,34922.48553464852,20,254.1806640625,1,9
00006443.step,26,16,126,252,4934.085032161528,-0.09926906309730475,0.10122980615377267,1233.0958078180215,10,167.78125,1,10
00006459.step,18,10,90,180,14655.046309238134,-0.05623595316629801,0.06421755240156173,6784.019782769246,10,39.93359375,1,9
00006467.step,14,4,62,124,1920.3591693546307,-0.08185925911803396,0.1451660366256511,1367.3428309099345,4,28.796875,1,8
00006678.step,32,27,148,296,103282.41837093647,-0.16345158164628834,0.16328082691415477,27231.56216285044,10,73.4052734375,1,9
00009692.step,75,44,468,936,47318.726057225686,-0.15715419883833093,0.4521155697466911,1542.666545790414,44,199.1708984375,1,8
00009727.step,193,118,1036,2072,15718.200559197223,-0.13490363861393567,0.1840386803030093,6011.159317410291,83,756.0830078125,1,7
00009729.step,172,126,861,1722,27291.03568355623,-0.5411796489272097,0.5060133711661378,4592.016704334376,45,948.8349609375,1,6
00009732.step,24,17,102,204,46906.10560251744,-0.19534716865203963,0.3087984797376909,3691.6134764149374,11,47.6982421875,1,8
00009763.step,93,64,446,892,44501.104520513676,-0.857569521633556,1.1106093586236112,16359.255537496556,40,314.1728515625,1,7
00009764.step,34,23,182,364,23443.904791686477,-0.16700478067895408,0.1595569420123414,9950.211743838376,16,84.2294921875,1,9
00009776.step,6,2,24,48,19648.376921930998,0.0002783405282669306,0.0006155902450650816,989.1418596487399,0,91.2734375,0,4
00009783.step,52,14,288,576,74587.50130485032,-0.036315536315536315,0.06610981028568802,10432.917667806712,14,120.2587890625,1,10
00009796.step,265,219,1446,2892,1623664.9675317858,-0.06597207553700878,0.06304775874201958,623548.9870928791,167,669.5078125,1,5
00009813.step,24,6,134,268,85924.67979592063,-0.07152777777777777,0.13467030786698175,23013.470965405046,6,55.783203125,1,10
00009835.step,5,0,18,36,286.4852169696399,0.0,0.0,143.24259336023758,0,68.716796875,0,2
00009866.step,28,2,156,312,55640.001464400106,-0.015873015873015872,0.05723097262641253,53041.913743824116,2,64.34765625,1,9
00009867.step,25,9,144,288,32128.64848403509,-0.03782019566786536,0.05342628074406819,9319.390707010303,7,61.224609375,1,10
00009872.step,25,8,150,300,9020.000298199999,-0.08034454157613322,0.12334338835061152,5212.1617997793255,8,63.275390625,1,10
00009904.step,44,18,236,472,165462.32678793048,-0.07753889900853622,0.11174352353018746,52142.72726477358,16,99.068359375,1,10
00009913.step,37,15,210,420,11088.000338400005,-0.016960421767999213,0.2139357045834466,4214.271852979086,6,91.19921875,1,9
00009939.step,32,17,166,332,17255.00042060001,-0.10001099030708527,0.11829250277614606,5173.767592810658,17,72.0703125,1,10
00009940.step,28,12,136,272,13481.04150411651,-0.09910650827495178,0.1292314056170227,7130.427997380755,12,58.0771484375,1,10
00009964.step,80,40,456,912,134565.91976636247,-0.09574842816242898,0.11300906594930787,19851.48266861522,38,196.71875,1,10
00500176.step,15,10,72,144,48000.00080000011,-0.10055555555555556,0.10150716084938886,18846.65167225944,10,32.865234375,1,9
00509579.step,3557,0,18780,37560,106080.26912196609,0.0,0.0,23840.2187224532,0,11510.7578125,1,2
00509583.step,6,4,24,48,80.12550670386956,-0.08902710971370958,0.11403843359922847,46.938252138602664,4,29.0458984375,0,5
00509603.step,82,21,484,968,200475.0021870001,-0.011987341130095794,0.02714397363588512,66365.46942018901,21,200.59765625,1,9
00509712.step,25,12,134,268,210576.00229820018,-0.039644380565775614,0.052704081180151005,75992.22993007168,11,72.818359375,1,9
00509729.step,12,7,58,116,331250.00315008045,-0.018965437874937725,0.01867083759170601,157478.90183482884,4,24.8623046875,1,7
00509843.step,38,19,192,384,2430.0001498500023,-0.2182017543859649,0.3735381118320782,556.4956840901817,19,84.689453125,1,8
00509846.step,16,9,72,144,1600.0001200000029,-0.1140625,0.1301531132908681,1358.4522194430806,9,34.7890625,1,9
00509850.step,29,16,162,324,3331.9794144855214,-0.11819835552253635,0.14699408541181766,1628.6231561018255,12,79.1259765625,1,10
00509854.step,12,7,50,100,6761.892778335127,-0.12713422953272815,0.2117252666499215,184.74120770435135,5,23.90234375,1,8
00509855.step,22,8,108,216,13720.000516600006,-0.08068007261555649,0.10883316576537881,6536.992074713936,8,47.703125,1,10
00509983.step,30,20,146,292,591300.8222897777,-0.15713752153876462,0.17396306991703586,199718.09618815378,14,78.1669921875,1,8
