File Name,Total Faces,Curved Faces,Total Edges,Vertices,Bounding Box Volume,Mean Curvature,Curvature Std Dev,Volume,Hole Count,size,ispart,Criteria Met
00000065.step,55,22,290,580,31136.40076532402,-0.09193823522427139,0.16640736965835676,13913.23159771248,22,123.1591796875,1,8
00000068.step,22,12,120,240,26148.751194700028,-0.0500529773257046,0.046767312531307816,9258.331062815178,12,51.564453125,1,8
00000069.step,20,6,108,216,3900.0004280000035,-0.03968503937007874,0.06557518890716824,2826.0064360238907,6,82.373046875,0,7
00000145.step,25,7,138,276,2884.123390451362,-0.07067409256769733,0.12280278948190154,1081.4032429788338,7,58.15625,1,8
00000266.step,26,10,144,288,37400.000759600014,-0.05044139633401527,0.10272479049064444,14673.76045970978,10,59.8603515625,1,8
00000274.step,22,10,128,256,141338.42979031705,-0.03579098067287043,0.04881238975299161,101755.374310399,10,50.9912109375,1,8
00000276.step,24,9,126,252,248235.21671882053,-0.025809273840769902,0.04689446468331548,51276.84420278071,9,52.5771484375,1,8
00000444.step,38,8,216,432,18435.447616934598,-0.025940317017159563,0.0515050147528979,10976.005218583483,8,88.0390625,1,8
00000445.step,33,12,178,356,81935.32141935235,-0.039636895899316384,0.0584997763564168,56801.732060250164,12,71.6923828125,1,8
00000485.step,47,38,216,432,4785.366930124266,-0.6734229954253006,0.4489651168438368,1599.7327937091575,24,101.046875,1,8
00000629.step,50,38,237,474,139020.27050727766,-0.1866385842823806,0.16919631492814052,73998.43106988605,16,314.6279296875,1,8
00000737.step,44,20,233,466,40703.36705489652,-0.07664961213373488,0.11002619844374818,23155.549236611016,14,106.12109375,1,8
00000800.step,60,16,396,792,269618.4149180578,-0.036705344385673314,0.0659501901372351,41969.32575656519,16,149.75390625,1,8
00000832.step,35,26,198,396,76234.75307177383,-0.20201777330826787,0.14850790194170804,5389.737088723768,26,82.4111328125,1,8
00000863.step,27,17,136,272,132482.24763942655,-0.13605766322544188,0.13216561155924814,101833.56210237728,17,58.337890625,1,8
