File Name,Total Faces,Curved Faces,Total Edges,Vertices,Bounding Box Volume,Mean Curvature,Curvature Std Dev,Volume,Hole Count,size,ispart,Criteria Met
00009679.step,169,97,848,1696,1298187.6407478442,-0.07270477659049543,0.13715899188576713,200166.35645546738,73,578.4228515625,1,6
00009723.step,401,274,2062,4124,128354.43596266741,-0.2565546589401442,0.3836413233077093,16158.412209088332,120,1788.537109375,1,3
00009810.step,216,111,1356,2712,626030.7316166002,-0.12989601704879483,0.13746529600799767,34595.4177212899,107,583.607421875,1,5
00009812.step,136,81,1034,2068,16425.908748118734,0.12663553884165232,0.2659135860903156,3345.9701081246835,0,647.251953125,1,6
00009868.step,43,7,244,488,8547.000266300027,-0.02402959468691268,0.06138013414276137,5598.490959432964,6,103.728515625,1,10
00009869.step,36,4,204,408,6012.500205600017,-0.01712962962962963,0.051704900893493985,3597.4460069111756,4,84.939453125,1,9
00009889.step,57,16,326,652,118093.3439743555,-0.057852426255521165,0.11219732684629338,31819.94829783134,14,135.2041015625,1,10
00009891.step,19,6,102,204,4320.000208800006,-0.06340852130325815,0.10954072694427186,2289.5292864324892,6,45.41015625,1,10
00009900.step,117,43,710,1420,787965.6267252145,-0.0768595812953443,0.1594255576120961,75176.25461051073,27,414.1298828125,1,9
00009902.step,152,15,898,1796,100349.92131351202,-0.023518704714083606,0.08084072359140261,48288.90755171593,15,383.0322265625,1,9
00009910.step,62,21,360,720,74309.59625482585,-0.01742932374426372,0.06581463857269118,22910.467262903956,11,154.63671875,1,10
00009911.step,49,13,284,568,74309.59625482582,-0.0287955209787267,0.05568003627673195,22739.124923126354,12,117.53125,1,10
00009956.step,32,18,226,452,8000.000240006129,-0.08675423095961848,0.10603809308258107,3631.972130928471,12,101.8251953125,1,10
00009985.step,894,749,4279,8558,18634.699104022573,-1.4819303993540829,1.133368522504977,5341.73319404063,295,4214.427734375,1,3
00509443.step,179,126,923,1846,15628.257530513121,-0.3588352220146201,0.39063529628323057,3064.997810740092,46,615.140625,1,6
00509444.step,82,41,484,968,10330.491601813947,-0.10687938390961499,0.14291697399994527,4724.550456221893,39,222.2451171875,1,10
00509447.step,103,63,612,1224,22957.983337462192,-0.11931707446069408,0.12789213041737107,3925.604119277261,41,288.1142578125,1,9
00509541.step,169,120,920,1840,102831.05532840537,-0.21976803649713345,0.40109673219161357,27211.965614514018,78,665.158203125,1,5
00509919.step,548,470,2558,5116,99515.0856632754,-0.2166593567940142,0.45599437958381606,20411.473625511146,143,2747.1357421875,1,3
00509995.step,149,97,790,1580,2182245.907124409,-0.0800303179077335,0.08762980396145999,966928.7385859756,78,352.166015625,1,7
