File Name,Total Faces,Curved Faces,Total Edges,Vertices,Bounding Box Volume,Mean Curvature,Curvature Std Dev,Volume,Hole Count,size,Criteria Met
00000000.step,3,3,12,24,27195.122434679983,-0.0651935656552937,0.0309543186718889,13464.532030476594,0,51.978515625,5
00000001.step,69,52,328,656,368060.02893509535,-0.3383181926699696,0.4180054928315865,12194.216473397608,11,705.1396484375,5
00000002.step,44,39,151,302,301050.14353389794,-0.2983942500555914,0.5413587527128713,87839.78134305828,7,222.2216796875,6
00000003.step,25,18,94,188,11354.057072298869,-0.155417361251005,0.1446854197940364,2118.9364476856254,8,384.7890625,7
00000004.step,48,32,232,464,126056.14093086011,-0.17375095544818,0.2053796264688578,9318.659509090929,19,291.802734375,7
00000005.step,6,2,24,48,608735.417217171,-0.0104969864579469,0.0148449806128752,481299.5156538812,2,124.1240234375,4
00000006.step,15,7,66,132,48.01520624696639,-0.0816374129692896,0.1071240795225703,23.095738315753795,1,39.0517578125,7
00000007.step,3,1,6,12,842246.9389358935,-0.001830525929851,0.0025887545962709,661499.1923056485,1,6.1953125,3
00000008.step,21,6,82,164,94487.81274399662,-0.0042422722603479,0.0068193863536496,10527.80955115289,4,39.4970703125,7
00000009.step,6,3,16,32,604682.665935476,-0.0082142447206656,0.0082548904696925,57710.73894075777,1,10.837890625,4
00000010.step,43,29,218,436,103747.98358359958,-0.6331436985105442,0.8217328407763463,18308.42573461704,16,384.9013671875,7
00000011.step,253,233,1317,2634,18267165.58846798,-0.1485735753439644,0.2983479242462815,379724.9631712696,21,12120.505859375,4
00000012.step,253,233,1317,2634,18267165.58846798,-0.1485735753437288,0.2983479242462485,379724.97413338855,21,12120.69921875,4
00000013.step,99,69,462,924,34132.406507976084,-0.1544992365558235,0.145474360196583,13131.287496780073,41,326.7412109375,7
00000014.step,4,2,12,24,887.7451578172945,-0.3089876159380411,0.4554643229445971,593.9633671554645,1,656.078125,3
00000015.step,26,20,120,240,353164.672005286,-0.099872357796866,0.0801030298314675,254113.9007719656,4,1801.869140625,7
00000016.step,6,0,24,48,117523.7100880328,0.0,0.0,117523.708404497,0,56.6513671875,3
00000017.step,6,0,24,48,9217.723887096008,0.0,0.0,9217.723499999996,0,776.431640625,2
00000018.step,22,0,120,240,40945.7506940191,0.0,0.0,37484.06416676817,0,425.404296875,5
00000019.step,22,0,120,240,40945.7506940191,0.0,0.0,37484.06416676817,0,425.97265625,5
00000020.step,13,9,66,132,8455.981759788716,-0.1710276531752934,0.2264557716966093,1897.8641793476477,6,74.7509765625,6
00000021.step,3,3,10,20,53069160.85908729,-0.0042236372029459,0.0083826740819129,195339.27966400096,0,56.2841796875,4
00000022.step,6,0,24,48,15625.000375000009,0.0,0.0,15624.999999999998,0,13.0556640625,2
00000023.step,454,414,2678,5356,75217.5148357677,0.2168739842971015,0.5526469651616577,3786.784379106134,80,5316.2919921875,2
00000024.step,30,19,154,308,2263176.53321894,-0.0740845148857836,0.1933794430723925,174268.93866909997,12,100.2939453125,8
00000025.step,6,2,24,48,124.06572153336728,-0.0666666666666666,0.0942809041582063,70.28092497847736,2,211.9931640625,5
00000026.step,202,157,1166,2332,8664.669225792106,-1.116412767333168,2.335971526491853,3152.034242992744,88,4189.1484375,4
00000027.step,74,30,446,892,28444.77933968306,-0.0674618793340683,0.3316603808752937,5468.380025013615,11,239.4833984375,8
00000028.step,62,26,378,756,28444.77933968306,-0.0642321383687899,0.3637699698108335,4414.04600354126,7,304.34765625,8
00000029.step,11,6,34,68,25427.291020487475,-0.0817158783508064,0.1111755825729658,16765.681207354606,5,23.5244140625,7
00000030.step,115,87,612,1224,42402.695012500095,-0.0490794717983139,0.3794891444366638,7652.777094256524,15,1160.0849609375,7
