File Name,Total Faces,Curved Faces,Total Edges,Vertices,Bounding Box Volume,Mean Curvature,Curvature Std Dev,Volume,Hole Count,size,ispart,Criteria Met,Class
00006002.step,19,8,100,200,100800.0032,-0.03241953,0.047507174,71135.67342,7,43.82226563,1,10,0
00006003.step,15,11,92,184,90000.00236,-0.058444444,0.051623518,57784.73055,11,34.53417969,1,9,0
00006039.step,52,25,280,560,36036.35128,-0.066478896,0.078743902,9579.320921,17,392.0878906,1,10,0
00006069.step,41,25,196,392,241083.3446,-0.11201365,0.123923395,98306.94491,17,86.66894531,1,9,0
00006080.step,12,3,54,108,295000.0035,-0.010555556,0.021808652,174026.125,3,25.96191406,1,7,0
00006247.step,25,19,123,246,87248.0017,-0.055185645,0.059585388,38737.44648,10,51.98144531,1,10,0
00006350.step,110,68,512,1024,124525.9336,-0.055288044,0.065656583,34922.48553,20,254.1806641,1,9,0
00006443.step,26,16,126,252,4934.085032,-0.099269063,0.101229806,1233.095808,10,167.78125,1,10,0
00006459.step,18,10,90,180,14655.04631,-0.056235953,0.064217552,6784.019783,10,39.93359375,1,9,0
00006467.step,14,4,62,124,1920.359169,-0.081859259,0.145166037,1367.342831,4,28.796875,1,8,0
00006678.step,32,27,148,296,103282.4184,-0.163451582,0.163280827,27231.56216,10,73.40527344,1,9,0
00009692.step,75,44,468,936,47318.72606,-0.157154199,0.45211557,1542.666546,44,199.1708984,1,8,0
00009727.step,193,118,1036,2072,15718.20056,-0.134903639,0.18403868,6011.159317,83,756.0830078,1,7,0
00009729.step,172,126,861,1722,27291.03568,-0.541179649,0.506013371,4592.016704,45,948.8349609,1,6,0
00009732.step,24,17,102,204,46906.1056,-0.195347169,0.30879848,3691.613476,11,47.69824219,1,8,0
00009763.step,93,64,446,892,44501.10452,-0.857569522,1.110609359,16359.25554,40,314.1728516,1,7,0
00009764.step,34,23,182,364,23443.90479,-0.167004781,0.159556942,9950.211744,16,84.22949219,1,9,0
00009776.step,6,2,24,48,19648.37692,0.000278341,0.00061559,989.1418596,0,91.2734375,0,4,0
00009783.step,52,14,288,576,74587.5013,-0.036315536,0.06610981,10432.91767,14,120.2587891,1,10,0
00009796.step,265,219,1446,2892,1623664.968,-0.065972076,0.063047759,623548.9871,167,669.5078125,1,5,0
00009813.step,24,6,134,268,85924.6798,-0.071527778,0.134670308,23013.47097,6,55.78320313,1,10,0
00009835.step,5,0,18,36,286.485217,0,0,143.2425934,0,68.71679688,0,2,0
00009866.step,28,2,156,312,55640.00146,-0.015873016,0.057230973,53041.91374,2,64.34765625,1,9,0
00009867.step,25,9,144,288,32128.64848,-0.037820196,0.053426281,9319.390707,7,61.22460938,1,10,0
00009872.step,25,8,150,300,9020.000298,-0.080344542,0.123343388,5212.1618,8,63.27539063,1,10,0
00009904.step,44,18,236,472,165462.3268,-0.077538899,0.111743524,52142.72726,16,99.06835938,1,10,0
00009913.step,37,15,210,420,11088.00034,-0.016960422,0.213935705,4214.271853,6,91.19921875,1,9,0
00009939.step,32,17,166,332,17255.00042,-0.10001099,0.118292503,5173.767593,17,72.0703125,1,10,0
00009940.step,28,12,136,272,13481.0415,-0.099106508,0.129231406,7130.427997,12,58.07714844,1,10,0
00009964.step,80,40,456,912,134565.9198,-0.095748428,0.113009066,19851.48267,38,196.71875,1,10,0
00500176.step,15,10,72,144,48000.0008,-0.100555556,0.101507161,18846.65167,10,32.86523438,1,9,0
00509579.step,3557,0,18780,37560,106080.2691,0,0,23840.21872,0,11510.75781,1,2,0
00509583.step,6,4,24,48,80.1255067,-0.08902711,0.114038434,46.93825214,4,29.04589844,0,5,0
00509603.step,82,21,484,968,200475.0022,-0.011987341,0.027143974,66365.46942,21,200.5976563,1,9,0
00509712.step,25,12,134,268,210576.0023,-0.039644381,0.052704081,75992.22993,11,72.81835938,1,9,0
00509729.step,12,7,58,116,331250.0032,-0.018965438,0.018670838,157478.9018,4,24.86230469,1,7,0
00509843.step,38,19,192,384,2430.00015,-0.218201754,0.373538112,556.4956841,19,84.68945313,1,8,0
00509846.step,16,9,72,144,1600.00012,-0.1140625,0.130153113,1358.452219,9,34.7890625,1,9,0
